"tagfield","liblibrarian","libopac","repeatable","mandatory","important","authorised_value","ind1_defaultvalue","ind2_defaultvalue","frameworkcode"
"796","المدخل الاضافى المحلى- اسم شخصى (RLIN)","المدخل الاضافى المحلى- اسم شخصى (RLIN)","1","0","0","","","","BKA"
"797","المدخل الاضافى المحلى - اسم هيئه (RLIN)","المدخل الاضافى المحلى - اسم هيئه (RLIN)","1","0","0","","","","BKA"
"798","المدخل الاضافى المحلى - عنوان مؤتمر (RLIN)","المدخل الاضافى المحلى - عنوان مؤتمر (RLIN)","1","0","0","","","","BKA"
"799","المدخل الاضافى المحلى - عنوان موحد (RLIN)","المدخل الاضافى المحلى - عنوان موحد (RLIN)","1","0","0","","","","BKA"
"800","المدخل الاضافى بالسلسلة- اسم شخصى","المدخل الاضافى بالسلسلة- اسم شخصى","1","0","0","","","","BKA"
"810","المدخل الاضافى بالسلسلة - اسم هيئه","المدخل الاضافى بالسلسلة - اسم هيئه","1","0","0","","","","BKA"
"811","المدخل الاضافى بالسلسلة - عنوان مؤتمر","المدخل الاضافى بالسلسلة - عنوان مؤتمر","1","0","0","","","","BKA"
"830","المدخل الاضافى بالسلسلة -عنوان موحد","المدخل الاضافى بالسلسلة -عنوان موحد","1","0","0","","","","BKA"
"840","المدخل الاضافى بالسلسلة عنوان - مهمل","المدخل الاضافى بالسلسلة عنوان - مهمل","1","0","0","","","","BKA"
"841","قيم بيانات المجموعات المرمزة","قيم بيانات المجموعات المرمزة","0","0","0","","","","BKA"
"842","مصمم الشكل المادى للنص","مصمم الشكل المادى للنص","0","0","0","","","","BKA"
"843","تبصرة الاستنساخ","تبصرة الاستنساخ","1","0","0","","","","BKA"
